wavelength,value
3601.90992,0.11639
3600.94555,0.11728
3599.98118,0.11822
3599.01682,0.11912
3598.05245,0.11981
3597.08808,0.12042
3596.12372,0.12108
3595.15935,0.12187
3594.19498,0.12277
3593.23062,0.12376
3592.26625,0.12475
3591.30188,0.12572
3590.33751,0.12665
3589.37315,0.12757
3588.40878,0.12842
3587.44441,0.12925
3586.48005,0.13021
3585.51568,0.13134
3584.55131,0.13246
3583.58695,0.13340
3582.62258,0.13424
3581.65821,0.13509
3580.69385,0.13594
3579.72948,0.13675
3578.76511,0.13767
3577.80075,0.13877
3576.83638,0.13992
3575.87201,0.14091
3574.90765,0.14178
3573.94328,0.14276
3572.97891,0.14398
3572.01455,0.14523
3571.05018,0.14625
3570.08581,0.14700
3569.12145,0.14762
3568.15708,0.14840
3567.19271,0.14949
3566.22835,0.15077
3565.26398,0.15193
3564.29961,0.15292
3563.33524,0.15388
3562.37088,0.15477
3561.40651,0.15556
3560.44214,0.15634
3559.47778,0.15719
3558.51341,0.15813
3557.54904,0.15917
3556.58468,0.16036
3555.62031,0.16161
3554.65594,0.16278
3553.69158,0.16379
3552.72721,0.16465
3551.76284,0.16550
3550.79848,0.16650
3549.83411,0.16767
3548.86974,0.16886
3547.90538,0.16994
3546.94101,0.17093
3545.97664,0.17191
3545.01228,0.17282
3544.04791,0.17366
3543.08354,0.17450
3542.11918,0.17534
3541.15481,0.17622
3540.19044,0.17726
3539.22608,0.17854
3538.26171,0.17993
3537.29734,0.18112
3536.33298,0.18194
3535.36861,0.18274
3534.40424,0.18385
3533.43987,0.18511
3532.47551,0.18617
3531.51114,0.18700
3530.54677,0.18781
3529.58241,0.18869
3528.61804,0.18963
3527.65367,0.19066
3526.68931,0.19175
3525.72494,0.19288
3524.76057,0.19407
3523.79621,0.19525
3522.83184,0.19621
3521.86747,0.19698
3520.90311,0.19784
3519.93874,0.19889
3518.97437,0.20013
3518.01001,0.20147
3517.04564,0.20258
3516.08127,0.20333
3515.11691,0.20408
3514.15254,0.20510
3513.18817,0.20631
3512.22381,0.20755
3511.25944,0.20880
3510.29507,0.20995
3509.33071,0.21093
3508.36634,0.21184
3507.40197,0.21273
3506.43761,0.21356
3505.47324,0.21445
3504.50887,0.21550
3503.54450,0.21659
3502.58014,0.21755
3501.61577,0.21838
3500.65140,0.21931
3499.68704,0.22041
3498.72267,0.22149
3497.75830,0.22245
3496.79394,0.22335
3495.82957,0.22419
3494.86520,0.22489
3493.90084,0.22551
3492.93647,0.22632
3491.97210,0.22750
3491.00774,0.22885
3490.04337,0.22999
3489.07900,0.23090
3488.11464,0.23195
3487.15027,0.23326
3486.18590,0.23458
3485.22154,0.23575
3484.25717,0.23679
3483.29280,0.23765
3482.32844,0.23841
3481.36407,0.23918
3480.39970,0.24001
3479.43534,0.24104
3478.47097,0.24224
3477.50660,0.24323
3476.54223,0.24391
3475.57787,0.24460
3474.61350,0.24551
3473.64913,0.24653
3472.68477,0.24747
3471.72040,0.24841
3470.75603,0.24947
3469.79167,0.25054
3468.82730,0.25140
3467.86293,0.25208
3466.89857,0.25278
3465.93420,0.25378
3464.96983,0.25497
3464.00547,0.25592
3463.04110,0.25660
3462.07673,0.25728
3461.11237,0.25800
3460.14800,0.25869
3459.18363,0.25937
3458.21927,0.26008
3457.25490,0.26081
3456.29053,0.26162
3455.32617,0.26255
3454.36180,0.26345
3453.39743,0.26418
3452.43307,0.26488
3451.46870,0.26568
3450.50433,0.26651
3449.53997,0.26733
3448.57560,0.26807
3447.61123,0.26867
3446.64686,0.26931
3445.68250,0.27017
3444.71813,0.27107
3443.75376,0.27181
3442.78940,0.27244
3441.82503,0.27320
3440.86066,0.27421
3439.89630,0.27525
3438.93193,0.27597
3437.96756,0.27641
3437.00320,0.27688
3436.03883,0.27768
3435.07446,0.27869
3434.11010,0.27950
3433.14573,0.28002
3432.18136,0.28055
3431.21700,0.28123
3430.25263,0.28188
3429.28826,0.28244
3428.32390,0.28298
3427.35953,0.28345
3426.39516,0.28375
3425.43080,0.28411
3424.46643,0.28478
3423.50206,0.28565
3422.53770,0.28642
3421.57333,0.28695
3420.60896,0.28724
3419.64460,0.28745
3418.68023,0.28788
3417.71586,0.28862
3416.75149,0.28939
3415.78713,0.28990
3414.82276,0.29020
3413.85839,0.29058
3412.89403,0.29118
3411.92966,0.29177
3410.96529,0.29214
3410.00093,0.29238
3409.03656,0.29267
3408.07219,0.29297
3407.10783,0.29330
3406.14346,0.29365
3405.17909,0.29398
3404.21473,0.29431
3403.25036,0.29470
3402.28599,0.29504
3401.32163,0.29530
3400.35726,0.29559
3399.39289,0.29591
3398.42853,0.29597
3397.46416,0.29568
