wavelength,value
3608.66048,0.08443
3607.69612,0.08525
3606.73175,0.08600
3605.76738,0.08668
3604.80302,0.08726
3603.83865,0.08774
3602.87428,0.08815
3601.90992,0.08856
3600.94555,0.08900
3599.98118,0.08954
3599.01682,0.09025
3598.05245,0.09105
3597.08808,0.09184
3596.12372,0.09255
3595.15935,0.09324
3594.19498,0.09388
3593.23062,0.09447
3592.26625,0.09493
3591.30188,0.09524
3590.33751,0.09557
3589.37315,0.09625
3588.40878,0.09731
3587.44441,0.09837
3586.48005,0.09913
3585.51568,0.09960
3584.55131,0.09996
3583.58695,0.10036
3582.62258,0.10089
3581.65821,0.10157
3580.69385,0.10229
3579.72948,0.10287
3578.76511,0.10334
3577.80075,0.10384
3576.83638,0.10451
3575.87201,0.10537
3574.90765,0.10629
3573.94328,0.10709
3572.97891,0.10766
3572.01455,0.10803
3571.05018,0.10834
3570.08581,0.10888
3569.12145,0.10981
3568.15708,0.11094
3567.19271,0.11179
3566.22835,0.11234
3565.26398,0.11290
3564.29961,0.11357
3563.33524,0.11425
3562.37088,0.11495
3561.40651,0.11572
3560.44214,0.11652
3559.47778,0.11738
3558.51341,0.11836
3557.54904,0.11932
3556.58468,0.12007
3555.62031,0.12056
3554.65594,0.12100
3553.69158,0.12168
3552.72721,0.12267
3551.76284,0.12359
3550.79848,0.12414
3549.83411,0.12448
3548.86974,0.12493
3547.90538,0.12554
3546.94101,0.12617
3545.97664,0.12673
3545.01228,0.12733
3544.04791,0.12817
3543.08354,0.12925
3542.11918,0.13024
3541.15481,0.13097
3540.19044,0.13157
3539.22608,0.13224
3538.26171,0.13305
3537.29734,0.13382
3536.33298,0.13440
3535.36861,0.13487
3534.40424,0.13548
3533.43987,0.13635
3532.47551,0.13734
3531.51114,0.13813
3530.54677,0.13860
3529.58241,0.13903
3528.61804,0.13978
3527.65367,0.14074
3526.68931,0.14154
3525.72494,0.14205
3524.76057,0.14250
3523.79621,0.14312
3522.83184,0.14396
3521.86747,0.14494
3520.90311,0.14590
3519.93874,0.14663
3518.97437,0.14707
3518.01001,0.14746
3517.04564,0.14796
3516.08127,0.14863
3515.11691,0.14949
3514.15254,0.15046
3513.18817,0.15142
3512.22381,0.15221
3511.25944,0.15265
3510.29507,0.15288
3509.33071,0.15329
3508.36634,0.15407
3507.40197,0.15502
3506.43761,0.15584
3505.47324,0.15648
3504.50887,0.15711
3503.54450,0.15781
3502.58014,0.15841
3501.61577,0.15891
3500.65140,0.15959
3499.68704,0.16049
3498.72267,0.16140
3497.75830,0.16222
3496.79394,0.16299
3495.82957,0.16377
3494.86520,0.16461
3493.90084,0.16542
3492.93647,0.16600
3491.97210,0.16636
3491.00774,0.16681
3490.04337,0.16751
3489.07900,0.16827
3488.11464,0.16890
3487.15027,0.16958
3486.18590,0.17055
3485.22154,0.17162
3484.25717,0.17243
3483.29280,0.17300
3482.32844,0.17349
3481.36407,0.17390
3480.39970,0.17437
3479.43534,0.17519
3478.47097,0.17624
3477.50660,0.17714
3476.54223,0.17768
3475.57787,0.17795
3474.61350,0.17819
3473.64913,0.17854
3472.68477,0.17909
3471.72040,0.17989
3470.75603,0.18085
3469.79167,0.18169
3468.82730,0.18232
3467.86293,0.18290
3466.89857,0.18350
3465.93420,0.18411
3464.96983,0.18467
3464.00547,0.18508
3463.04110,0.18537
3462.07673,0.18576
3461.11237,0.18637
3460.14800,0.18707
3459.18363,0.18774
3458.21927,0.18832
3457.25490,0.18882
3456.29053,0.18929
3455.32617,0.18979
3454.36180,0.19032
3453.39743,0.19082
3452.43307,0.19130
3451.46870,0.19186
3450.50433,0.19248
3449.53997,0.19298
3448.57560,0.19332
3447.61123,0.19371
3446.64686,0.19436
3445.68250,0.19515
3444.71813,0.19572
3443.75376,0.19604
3442.78940,0.19644
3441.82503,0.19708
3440.86066,0.19773
3439.89630,0.19825
3438.93193,0.19872
3437.96756,0.19925
3437.00320,0.19971
3436.03883,0.20012
3435.07446,0.20070
3434.11010,0.20143
3433.14573,0.20206
3432.18136,0.20259
3431.21700,0.20316
3430.25263,0.20367
3429.28826,0.20390
3428.32390,0.20394
3427.35953,0.20402
3426.39516,0.20430
3425.43080,0.20484
3424.46643,0.20558
3423.50206,0.20635
3422.53770,0.20698
3421.57333,0.20747
3420.60896,0.20779
3419.64460,0.20803
3418.68023,0.20831
3417.71586,0.20854
3416.75149,0.20877
3415.78713,0.20924
3414.82276,0.20980
3413.85839,0.21011
3412.89403,0.21022
3411.92966,0.21038
3410.96529,0.21066
3410.00093,0.21102
3409.03656,0.21149
3408.07219,0.21192
3407.10783,0.21223
3406.14346,0.21252
3405.17909,0.21270
3404.21473,0.21280
3403.25036,0.21304
3402.28599,0.21335
3401.32163,0.21355
3400.35726,0.21369
3399.39289,0.21397
3398.42853,0.21430
3397.46416,0.21455
3396.49979,0.21469
3395.53543,0.21481
3394.57106,0.21494
3393.60669,0.21495
3392.64233,0.21482
3391.67796,0.21483
3390.71359,0.21500
3389.74922,0.21519
3388.78486,0.21538
3387.82049,0.21551
3386.85612,0.21552
3385.89176,0.21548
3384.92739,0.21545
3383.96302,0.21532
3382.99866,0.21516
3382.03429,0.21524
3381.06992,0.21562
3380.10556,0.21590
3379.14119,0.21580
3378.17682,0.21558
3377.21246,0.21562
3376.24809,0.21577
3375.28372,0.21577
3374.31936,0.21569
3373.35499,0.21568
3372.39062,0.21566
3371.42626,0.21554
3370.46189,0.21553
3369.49752,0.21567
3368.53316,0.21579
3367.56879,0.21571
3366.60442,0.21540
3365.64006,0.21500
