wavelength,value
3089.83116,0.02059
3088.86679,0.02060
3087.90242,0.02054
3086.93806,0.02035
3085.97369,0.02012
3085.00932,0.02004
3084.04496,0.02013
3083.08059,0.02020
3082.11622,0.02027
3081.15186,0.02036
3080.18749,0.02029
3079.22312,0.02015
3078.25876,0.02013
3077.29439,0.02016
3076.33002,0.02006
3075.36566,0.01990
3074.40129,0.01990
3073.43692,0.02001
3072.47255,0.02008
3071.50819,0.02014
3070.54382,0.02022
3069.57945,0.02021
3068.61509,0.02010
3067.65072,0.01996
3066.68635,0.01986
3065.72199,0.01985
3064.75762,0.01988
3063.79325,0.01979
3062.82889,0.01964
3061.86452,0.01960
3060.90015,0.01960
3059.93579,0.01950
3058.97142,0.01939
3058.00705,0.01929
3057.04269,0.01914
3056.07832,0.01904
3055.11395,0.01908
3054.14959,0.01911
3053.18522,0.01907
3052.22085,0.01901
3051.25649,0.01888
3050.29212,0.01876
3049.32775,0.01881
3048.36339,0.01900
3047.39902,0.01903
3046.43465,0.01885
3045.47029,0.01869
3044.50592,0.01880
3043.54155,0.01908
3042.57718,0.01927
3041.61282,0.01936
3040.64845,0.01953
3039.68408,0.01979
3038.71972,0.01997
3037.75535,0.01997
3036.79098,0.01993
3035.82662,0.02009
3034.86225,0.02042
3033.89788,0.02068
3032.93352,0.02091
3031.96915,0.02136
3031.00478,0.02203
3030.04042,0.02265
3029.07605,0.02318
3028.11168,0.02381
3027.14732,0.02472
3026.18295,0.02592
3025.21858,0.02721
3024.25422,0.02842
3023.28985,0.02963
3022.32548,0.03110
3021.36112,0.03308
3020.39675,0.03561
3019.43238,0.03841
3018.46802,0.04124
3017.50365,0.04413
3016.53928,0.04729
3015.57492,0.05075
3014.61055,0.05430
3013.64618,0.05762
3012.68181,0.06047
3011.71745,0.06285
3010.75308,0.06489
3009.78871,0.06637
3008.82435,0.06694
3007.85998,0.06670
3006.89561,0.06591
3005.93125,0.06458
3004.96688,0.06266
3004.00251,0.06029
3003.03815,0.05762
3002.07378,0.05490
3001.10941,0.05239
3000.14505,0.05004
2999.18068,0.04770
2998.21631,0.04554
2997.25195,0.04369
2996.28758,0.04215
2995.32321,0.04091
2994.35885,0.03989
2993.39448,0.03911
2992.43011,0.03864
2991.46575,0.03839
2990.50138,0.03834
2989.53701,0.03851
2988.57265,0.03884
2987.60828,0.03938
2986.64391,0.04015
2985.67954,0.04115
2984.71518,0.04234
2983.75081,0.04360
2982.78644,0.04488
2981.82208,0.04630
2980.85771,0.04796
2979.89334,0.05000
2978.92898,0.05249
2977.96461,0.05525
2977.00024,0.05814
2976.03588,0.06118
2975.07151,0.06453
2974.10714,0.06821
2973.14278,0.07225
2972.17841,0.07669
2971.21404,0.08159
2970.24968,0.08696
2969.28531,0.09289
2968.32094,0.09932
2967.35658,0.10606
2966.39221,0.11312
2965.42784,0.12056
2964.46348,0.12815
2963.49911,0.13567
2962.53474,0.14301
2961.57038,0.15010
2960.60601,0.15679
2959.64164,0.16286
2958.67728,0.16822
2957.71291,0.17285
2956.74854,0.17666
2955.78417,0.17957
2954.81981,0.18148
2953.85544,0.18220
2952.89107,0.18164
2951.92671,0.18010
2950.96234,0.17830
2949.99797,0.17683
2949.03361,0.17618
2948.06924,0.17681
2947.10487,0.17904
2946.14051,0.18293
2945.17614,0.18832
2944.21177,0.19501
2943.24741,0.20298
2942.28304,0.21242
2941.31867,0.22334
2940.35431,0.23548
2939.38994,0.24882
2938.42557,0.26346
2937.46121,0.27932
2936.49684,0.29616
2935.53247,0.31369
2934.56811,0.33159
2933.60374,0.34971
2932.63937,0.36796
2931.67501,0.38622
2930.71064,0.40447
2929.74627,0.42247
2928.78191,0.43958
2927.81754,0.45543
2926.85317,0.46988
2925.88880,0.48250
2924.92444,0.49283
2923.96007,0.50070
2922.99570,0.50607
2922.03134,0.50890
2921.06697,0.50934
2920.10260,0.50793
2919.13824,0.50529
2918.17387,0.50202
2917.20950,0.49828
2916.24514,0.49284
2915.28077,0.48297
2914.31640,0.46604
2913.35204,0.44208
2912.38767,0.41431
2911.42330,0.38669
2910.45894,0.36151
2909.49457,0.33939
2908.53020,0.32029
2907.56584,0.30378
2906.60147,0.28916
2905.63710,0.27599
2904.67274,0.26409
2903.70837,0.25341
2902.74400,0.24368
2901.77964,0.23459
2900.81527,0.22605
2899.85090,0.21804
2898.88653,0.21042
2897.92217,0.20311
2896.95780,0.19615
2895.99343,0.18951
2895.02907,0.18303
2894.06470,0.17658
2893.10033,0.17019
2892.13597,0.16399
2891.17160,0.15797
2890.20723,0.15216
2889.24287,0.14664
2888.27850,0.14145
2887.31413,0.13661
2886.34977,0.13216
2885.38540,0.12811
2884.42103,0.12450
2883.45667,0.12149
2882.49230,0.11923
2881.52793,0.11766
2880.56357,0.11676
2879.59920,0.11674
2878.63483,0.11794
2877.67047,0.12028
2876.70610,0.12358
2875.74173,0.12777
2874.77737,0.13263
2873.81300,0.13760
2872.84863,0.14193
2871.88427,0.14508
2870.91990,0.14695
2869.95553,0.14798
2868.99116,0.14892
2868.02680,0.15067
2867.06243,0.15397
2866.09806,0.15924
2865.13370,0.16667
2864.16933,0.17640
2863.20496,0.18852
2862.24060,0.20287
2861.27623,0.21900
2860.31186,0.23646
2859.34750,0.25505
2858.38313,0.27436
2857.41876,0.29352
2856.45440,0.31153
2855.49003,0.32756
2854.52566,0.34074
2853.56130,0.35012
2852.59693,0.35526
2851.63256,0.35610
2850.66820,0.35218
2849.70383,0.34219
2848.73946,0.32477
2847.77510,0.30016
2846.81073,0.27097
2845.84636,0.24084
2844.88200,0.21251
2843.91763,0.18723
2842.95326,0.16528
2841.98889,0.14666
2841.02453,0.13119
2840.06016,0.11839
2839.09579,0.10775
2838.13143,0.09888
2837.16706,0.09135
2836.20269,0.08482
2835.23833,0.07908
2834.27396,0.07396
2833.30959,0.06939
2832.34523,0.06539
2831.38086,0.06187
2830.41649,0.05857
2829.45213,0.05532
2828.48776,0.05224
2827.52339,0.04949
2826.55903,0.04695
2825.59466,0.04454
2824.63029,0.04236
2823.66593,0.04045
2822.70156,0.03872
2821.73719,0.03705
2820.77283,0.03550
2819.80846,0.03414
2818.84409,0.03291
2817.87973,0.03171
2816.91536,0.03051
2815.95099,0.02934
2814.98663,0.02827
2814.02226,0.02737
2813.05789,0.02658
2812.09352,0.02576
2811.12916,0.02488
2810.16479,0.02404
2809.20042,0.02326
2808.23606,0.02252
2807.27169,0.02189
2806.30732,0.02135
2805.34296,0.02077
2804.37859,0.02018
2803.41422,0.01967
2802.44986,0.01929
2801.48549,0.01899
2800.52112,0.01866
2799.55676,0.01818
2798.59239,0.01760
2797.62802,0.01709
2796.66366,0.01676
2795.69929,0.01654
2794.73492,0.01630
2793.77056,0.01600
2792.80619,0.01565
2791.84182,0.01529
2790.87746,0.01500
2789.91309,0.01474
2788.94872,0.01452
2787.98436,0.01431
2787.01999,0.01397
2786.05562,0.01355
2785.09126,0.01322
2784.12689,0.01299
2783.16252,0.01270
2782.19815,0.01237
2781.23379,0.01213
2780.26942,0.01200
2779.30505,0.01184
2778.34069,0.01161
2777.37632,0.01140
2776.41195,0.01124
2775.44759,0.01106
2774.48322,0.01090
