,material,cell_line,cell_species,cell_origin,cell_type,toxicity
466,6,0,1,5,0,0
467,6,0,1,5,0,0
468,6,0,1,5,0,0
469,6,0,1,5,0,1
470,6,0,1,5,0,1
471,6,0,1,5,0,1
472,6,0,1,5,0,1
473,6,0,1,5,0,0
474,6,0,1,5,0,0
475,6,0,1,5,0,0
476,6,0,1,5,0,1
477,6,0,1,5,0,1
478,6,0,1,5,0,1
479,6,0,1,5,0,1
480,6,0,1,5,0,1
481,6,0,1,5,0,1
482,6,0,1,5,0,1
483,6,0,1,5,0,1
484,6,0,1,5,0,1
485,6,0,1,5,0,1
486,6,0,1,5,0,1
487,6,0,1,5,0,0
488,6,0,1,5,0,0
489,6,0,1,5,0,0
490,6,0,1,5,0,1
491,6,0,1,5,0,1
492,6,0,1,5,0,1
493,6,0,1,5,0,1
494,6,0,1,5,0,0
495,6,0,1,5,0,0
496,6,0,1,5,0,0
497,6,0,1,5,0,1
498,6,0,1,5,0,1
499,6,0,1,5,0,1
500,6,0,1,5,0,1
501,6,0,1,5,0,1
502,6,0,1,5,0,1
503,6,0,1,5,0,1
504,6,0,1,5,0,1
505,6,0,1,5,0,1
506,6,0,1,5,0,1
507,6,0,1,5,0,1
508,6,0,1,5,0,0
509,6,0,1,5,0,0
510,6,0,1,5,0,0
511,6,0,1,5,0,1
512,6,0,1,5,0,1
513,6,0,1,5,0,1
514,6,0,1,5,0,1
515,6,0,1,5,0,1
516,6,0,1,5,0,0
517,6,0,1,5,0,0
518,6,0,1,5,0,1
519,6,0,1,5,0,1
520,6,0,1,5,0,1
521,6,0,1,5,0,1
522,6,0,1,5,0,1
523,6,0,1,5,0,0
524,6,0,1,5,0,0
525,6,0,1,5,0,1
526,6,0,1,5,0,1
527,6,0,1,5,0,1
528,6,0,1,5,0,1
529,6,0,1,5,0,0
530,6,0,1,5,0,0
531,6,0,1,5,0,0
532,6,0,1,5,0,1
533,6,0,1,5,0,1
534,6,0,1,5,0,1
535,6,0,1,5,0,1
536,6,0,1,5,0,1
537,6,0,1,5,0,0
538,6,0,1,5,0,0
539,6,0,1,5,0,1
540,6,0,1,5,0,1
541,6,0,1,5,0,1
542,6,0,1,5,0,1
543,6,0,1,5,0,1
544,6,0,1,5,0,1
545,6,0,1,5,0,0
546,6,11,1,3,0,1
547,6,11,1,3,0,0
548,6,11,1,3,0,0
549,6,11,1,3,0,1
550,6,11,1,3,0,0
551,6,11,1,3,0,0
552,6,2,1,3,0,1
553,6,2,1,3,0,1
554,6,2,1,3,0,1
555,6,2,1,3,0,1
556,6,11,1,3,0,1
557,6,11,1,3,0,1
558,6,11,1,3,0,0
559,6,11,1,3,0,0
560,6,11,1,3,0,1
561,6,11,1,3,0,0
562,6,11,1,3,0,0
563,6,2,1,3,0,1
564,6,2,1,3,0,1
565,6,2,1,3,0,1
566,6,2,1,3,0,0
567,6,2,1,3,0,1
568,6,2,1,3,0,1
