,Material,"Diameter, (nm)",Zeta potential (mV),"Concentration, (g/L)",Viability (%),"Time, (h)","Molecular weight, (g/mol)",Average electronegativity,Elements,"Average ionic radius, Å"
897,SiO2,13.0,-27.0,0.0032729239202234,82.70829,24.0, ,2.9266666666666663,Si, 
898,NiO,22.0,25.3,0.01,58.779,24.0,74.69279999999999, ,Ni,0.74
899,Ag,28.41,-33.33,1.422181672017595e-07,17.940199,72.0,107.8682,1.93,Ag,1.086666666666667
900,Fe3O4,28.33,49.25722173011928,0.05,87.538,6.0,231.5326,2.75,Fe,0.8525
901,ZnO,100.0,-26.0,0.01,79.249,24.0,81.4084,2.545,Zn,0.88
902,SiO2,15.0,-35.9,0.005,89.58,24.0, ,2.9266666666666663,Si, 
903,TiO2,115.0,-17.6,1.574844885282227e-09,99.42357,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
904,C56H103N9O39,188.0,34.6,9.714036309847143e-07,95.41284,4.0,1526.45392,2.564830917874396,C,0.3
905,SiO2,100.33,-35.9,0.2,30.244,24.0, ,2.9266666666666663,Si, 
906,Fe3O4,361.4,12.1,9.27720757398714e-12,93.75041,72.0,231.5326,2.75,Fe,0.8525
907,ZnO,141.0,-26.0,0.0125,80.655,9.0,81.4084,2.545,Zn,0.88
908,Cu2O,88.5,118.7302016664654,3.510314081414318e-09,93.416145,3.0,143.0914,2.4133333333333336,Cu,0.82
909,ZnO,165.0,-26.0,8.195875402680565e-13,97.6419,3.0,81.4084,2.545,Zn,0.88
910,SiO2,437.0,21.7,2.688290827285549e-11,114.13043,12.0, ,2.9266666666666663,Si, 
911,ZnO,94.5,-26.0,0.01,57.358,24.0,81.4084,2.545,Zn,0.88
912,Pt,13.5,-40.5,1.172313820413416e-06,38.01242,48.0, , ,Pt,0.805
913,TiO2,100.0,-17.6,5.987855537259018e-09,92.93233,3.0,79.8658,2.806666666666666,Ti,0.8516666666666667
914,CdO,179.3,88.18023735375812,8.668671717265823e-10,1.1455847,24.0, ,2.565,Cd,1.09
915,Ag,28.41,-33.33,2.84436334403519e-07,9.1694355,48.0,107.8682,1.93,Ag,1.086666666666667
916,SiO2,100.0,-35.9,0.01,94.15,24.0, ,2.9266666666666663,Si, 
917,Cu2O,88.5,118.7302016664654,3.633050017893904e-08,23.354036,24.0,143.0914,2.4133333333333336,Cu,0.82
918,Fe3O4,145.8,17.7,5.651570349035752e-10,46.02516,168.0,231.5326,2.75,Fe,0.8525
919,Au,25.0,24.4,2.069265452158232e-09,80.0,48.0,196.966569,2.54,Au, 
920,Pt,13.5,-8.0,1.172313820413416e-06,85.4054,48.0, , ,Pt,0.805
921,ZnO,100.0,-26.0,0.01,96.288,48.0,81.4084,2.545,Zn,0.88
922,Cu2O,88.5,118.7302016664654,1.0911471068582931e-08,11.851851,3.0,143.0914,2.4133333333333336,Cu,0.82
923,ZnO,639.0,-26.0,1.763821445214678e-13,68.47332,24.0,81.4084,2.545,Zn,0.88
924,ZnO,60.0,-26.0,1.6496460443496282e-08,25.90524,24.0,81.4084,2.545,Zn,0.88
925,Cu2O,88.5,118.7302016664654,3.633049908779193e-10,119.25466,3.0,143.0914,2.4133333333333336,Cu,0.82
926,Al2O3,239.0,8.667160493827168,5.996465006486421e-12,97.75281,24.0,101.9612772, ,Al,0.675
927,Au,33.69,24.4,0.004,92.308,96.0,196.966569,2.54,Au, 
928,Au,6.0,24.4,0.05,78.221,24.0,196.966569,2.54,Au, 
929,Fe3O4,361.4,12.1,4.631182020934381e-12,93.644055,4.0,231.5326,2.75,Fe,0.8525
930,C56H103N9O39,265.0,25.4,4.85583235046566e-07,67.522934,4.0,1526.45392,2.564830917874396,C,0.3
931,TiO2,20.0,-17.6,0.1,61.4,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
932,Ag,20.0, ,0.5,-3.7801,48.0, , , , 
933,SiO2,199.89,-35.9,0.05,55.172,72.0, ,2.9266666666666663,Si, 
934,Au,215.0,24.4,0.0025,76.691,24.0,196.966569,2.54,Au, 
935,CuO,46.3,-39.67,1e-05,99.672,24.0,79.5454,2.67,Cu,0.82
936,C56H103N9O39,240.0,43.9,3.501876360407152e-07,89.0393,24.0,1526.45392,2.564830917874396,C,0.3
937,Fe3O4,361.4,12.1,7.421766059189711e-11,91.689825,72.0,231.5326,2.75,Fe,0.8525
938,Al2O3,239.0,8.667160493827168,5.99646500648642e-10,26.55242,24.0,101.9612772, ,Al,0.675
939,Fe3O4,361.4,12.1,3.710883029594856e-11,56.497173,24.0,231.5326,2.75,Fe,0.8525
940,SiO2,14.0,-35.9,3.9307291469010295e-08,20.221264,24.0, ,2.9266666666666663,Si, 
941,Cu2O,88.5,118.7302016664654,1.0911471068582931e-08,17.777779,24.0,143.0914,2.4133333333333336,Cu,0.82
