X,Y,Z
-55.328,539.771,-32.819
28.829,540.252,-70.492
11.444,539.802,-64.027
12.196,538.932,54.503
25.286,539.416,63.711
-54.657,539.467,33.581
-48.713,539.389,41.354
39.738,539.522,56.719
-41.494,539.545,-40.749
53.76,539.397,-14.951
42.315,540.038,-56.679
2.7095,539.667,-61.153
4.3101,539.99,-70.108
-6.2084,539.605,-59.369
44.863,539.449,49.086
-23.859,538.753,40.972
35.6,540.123,-63.807
-36.151,539.641,-48.712
16.148,539.256,63.061
-50.617,539.826,-41.768
-58.455,539.695,-23.677
-74.343,540.147,-3.648
-66.681,539.958,-19.102
-73.979,540.1,5.3803
44.276,538.982,23.219
-14.405,539.601,-57.797
-4.228,539.916,-68.115
34.771,539.658,64.307
20.115,539.664,71.828
44.416,539.979,65.198
49.382,539.875,57.656
-74.963,540.267,-13.34
-82.523,540.571,1.2032
50.159,539.441,41.108
6.5302,539.147,62.31
-27.567,539.448,-47.587
-73.726,540.115,15.113
53.983,539.584,-26.3
-59.604,539.557,26.1
-31.019,538.995,45.758
12.713,540.154,-73.12
29.495,539.869,72.441
48.52,539.978,-49.319
-81.995,540.547,10.958
-82.764,540.634,-8.5322
-19.8,538.835,47.451
38.224,540.546,-73.233
-75.573,540.432,-23.121
-12.203,538.979,56.297
21.487,540.41,-77.044
52.813,539.218,2.6795
52.201,539.212,18.369
54.572,539.822,49.783
45.752,539.133,32.536
-31.662,539.809,-56.984
-46.01,539.91,-49.552
-11.83,539.861,-65.78
24.24,540.179,80.742
10.362,539.509,70.959
46.35,539.672,-40.527
55.668,540.005,-42.06
53.036,539.73,-34.78
51.978,540.379,-58.529
55.534,539.488,32.923
0.56588,539.438,70.124
5.6397,540.388,-79.55
14.509,540.575,-82.69
-3.0924,540.244,-76.338
-22.928,539.649,-56.422
-40.617,540.026,-57.567
54.13,540.393,66.185
38.799,540.163,73.304
59.18,540.298,58.466
62.147,540.033,-33.363
63.033,539.853,-22.285
33.346,540.432,81.472
-41.905,539.338,48.56
-55.764,540.231,-50.068
-83.39,540.775,-18.288
58.214,540.342,-51.04
-66.091,540.132,-30.746
60.024,539.834,41.548
-81.739,540.61,20.763
-65.976,539.777,20.076
